:GT2K_LOG,2
:LOGGING_ID,1
:LOGGING_NAME,"温度ログ-1min"
:SERIAL_ID,31
:DEVICE_NUM,18
:RECORD_NUM,720
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"庫内 吹出温度","庫内 吹込温度","CIPタンク温度","外気温度","吸入温度1A","吸入温度1B","吸入温度1C","吸入温度1D","予備","予備","SH1A 現在値","SH1B 現在値","SH1C 現在値","SH1D 現在値","冷凍機側SH","予備","冷却水送り温度","排熱回収補給水温度"
:DEV_TYPE,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16
:DISP_TYPE,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX
:DEV_SIZE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023/01/22 08:05:02,   3.4,   5.7,  24.8,   0.1,   6.2,   5.4,   5.8,   6.1,   0.0,   0.0,  62.4,  61.6,  61.8,  62.2,  67.8,   0.0,   7.3,   2.1
2023/01/22 08:06:02,   3.4,   5.7,  24.7,   0.3,   6.2,   5.4,   5.8,   6.1,   0.0,   0.0,  62.3,  61.6,  61.9,  62.1,  67.1,   0.0,   7.3,   2.0
2023/01/22 08:07:02,   3.4,   5.7,  24.7,   0.4,   6.2,   5.5,   5.8,   6.1,   0.0,   0.0,  62.2,  61.6,  61.8,  62.1,  66.5,   0.0,   7.2,   1.9
2023/01/22 08:08:02,   3.4,   5.7,  24.7,   0.5,   6.2,   5.4,   5.8,   6.1,   0.0,   0.0,  62.3,  61.5,  61.8,  62.0,  65.9,   0.0,   7.2,   1.9
2023/01/22 08:09:02,   3.4,   5.7,  24.7,   0.3,   6.2,   5.5,   5.8,   6.1,   0.0,   0.0,  62.2,  61.5,  61.8,  62.0,  65.0,   0.0,   7.5,   2.1
2023/01/22 08:10:02,   3.4,   5.7,  24.7,   0.3,   6.2,   5.5,   5.9,   6.1,   0.0,   0.0,  62.1,  61.5,  61.7,  62.0,  64.4,   0.0,   7.4,   2.0
2023/01/22 08:11:02,   3.4,   5.7,  24.7,   0.2,   6.2,   5.4,   5.8,   6.1,   0.0,   0.0,  62.1,  61.4,  61.7,  61.9,  63.6,   0.0,   7.3,   2.0
2023/01/22 08:12:02,   3.4,   5.8,  24.7,   0.2,   6.2,   5.4,   5.9,   6.1,   0.0,   0.0,  62.2,  61.3,  61.7,  61.9,  63.0,   0.0,   7.5,   2.1
2023/01/22 08:13:02,   3.4,   5.8,  24.6,   0.1,   6.2,   5.5,   5.9,   6.1,   0.0,   0.0,  62.1,  61.3,  61.6,  61.9,  62.5,   0.0,   7.3,   1.9
2023/01/22 08:14:02,   3.4,   5.8,  24.6,   0.2,   6.2,   5.5,   5.9,   6.1,   0.0,   0.0,  62.1,  61.3,  61.6,  61.9,  61.7,   0.0,   7.5,   2.1
2023/01/22 08:15:02,   3.4,   5.8,  24.6,   0.2,   6.2,   5.5,   5.9,   6.1,   0.0,   0.0,  62.1,  61.3,  61.5,  61.8,  61.1,   0.0,   7.5,   2.1
