:GT2K_LOG,0
:LOGGING_ID,6
:LOGGING_NAME,"冷凍機ログ-1min"
:SERIAL_ID,13
:DEVICE_NUM,27
:RECORD_NUM,720
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"フリーザー状態","庫内吹出温度","庫内吸込温度","膨張弁1-1開度","膨張弁1-2開度","膨張弁2-1開度","膨張弁2-2開度","MT1圧縮機状態","LT1圧縮機状態","MT吐出圧力","MT吸入圧力","LT吐出圧力","LT吸入圧力","レシーバー圧力","GAS-C出口圧力","GAS-C出口温度","MT吸入温度","INT-C出口温度","MT吐出温度","LT吸入温度","LT過熱度","冷却水戻温度","温水取出温度","HPV","RPRV","インジェクション","温水流量"
:DEV_TYPE,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16,BIN16
:DISP_TYPE,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC
:DEV_SIZE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023/01/23 08:22:10,1,-397,-357,0,423,19,38,2,3,635,221,221,63,278,637,228,97,220,967,-69,411,219,663,29,123,0,78
2023/01/23 08:23:10,1,-396,-357,15,479,17,0,2,3,646,233,233,64,283,646,230,107,223,973,-70,407,222,564,89,241,0,0
2023/01/23 08:24:10,1,-395,-356,0,515,17,0,2,3,646,237,237,65,283,648,233,107,226,979,-70,405,224,533,81,305,0,0
2023/01/23 08:25:10,1,-395,-355,17,529,19,6,2,3,658,241,241,66,282,658,238,102,230,981,-68,404,228,524,105,327,0,1
2023/01/23 08:26:10,1,-395,-357,15,533,19,15,2,3,641,242,242,66,276,643,244,100,235,983,-67,405,230,510,0,290,0,11
2023/01/23 08:27:10,1,-396,-357,19,450,81,27,2,3,686,231,231,66,276,688,242,104,224,982,-67,405,215,515,141,139,0,0
2023/01/23 08:28:10,1,-397,-358,21,308,104,2,2,3,620,232,232,65,282,620,212,110,212,983,-69,406,208,603,165,243,0,0
2023/01/23 08:29:10,1,-398,-363,48,208,156,17,2,3,605,235,235,65,282,605,204,105,205,972,-69,406,206,632,102,282,0,22
2023/01/23 08:30:10,1,-401,-367,81,152,198,21,2,3,609,227,228,65,276,611,204,99,203,955,-68,409,203,843,86,152,0,72
2023/01/23 08:31:10,1,-403,-370,90,90,163,19,2,3,616,225,225,64,277,616,206,109,203,948,-68,409,204,744,124,89,0,77
2023/01/23 08:32:10,1,-406,-373,110,69,135,23,2,3,613,226,226,64,280,613,207,119,203,949,-68,409,202,466,156,111,0,77
2023/01/23 08:33:10,1,-409,-376,188,54,81,48,2,3,616,230,231,64,281,618,207,119,203,951,-68,409,200,432,88,212,0,66
2023/01/23 08:34:10,1,-412,-379,244,48,52,40,2,3,605,218,219,64,279,607,207,115,203,951,-68,409,201,335,85,62,0,200
2023/01/23 08:35:10,1,-414,-369,260,21,4,63,2,3,620,226,226,64,281,622,207,121,203,951,-69,408,201,281,73,156,0,196
2023/01/23 08:36:10,1,-413,-360,279,21,29,81,2,3,609,228,228,64,282,609,208,121,203,954,-70,407,200,289,133,189,0,156
2023/01/23 08:37:10,1,-408,-349,308,29,19,67,2,3,607,231,231,65,282,609,206,116,203,956,-69,406,201,296,84,230,0,133
2023/01/23 08:38:10,1,-401,-338,340,13,21,94,2,3,609,234,235,66,280,611,204,109,202,954,-68,404,198,322,131,226,0,130
2023/01/23 08:39:10,1,-394,-331,379,10,0,83,2,3,605,238,239,66,282,605,203,103,200,948,-68,404,198,346,119,293,0,142
2023/01/23 08:40:10,1,-390,-328,417,2,13,131,2,3,600,233,234,66,277,600,201,100,199,936,-67,403,195,289,100,128,0,260
2023/01/23 08:41:10,1,-387,-323,446,8,15,96,2,3,600,237,237,68,281,600,200,110,198,931,-69,395,196,260,104,228,0,253
2023/01/23 08:42:10,1,-386,-326,460,8,6,171,3,3,633,231,226,68,286,633,199,114,197,927,-70,395,194,317,313,350,0,135
2023/01/23 08:43:10,1,-387,-332,438,19,46,246,3,3,594,215,216,68,279,594,197,88,195,900,-69,396,193,397,177,272,0,144
2023/01/23 08:44:10,1,-390,-332,338,50,35,329,3,3,592,212,213,68,278,592,197,86,195,906,-69,396,193,362,131,214,0,139
2023/01/23 08:45:10,1,-393,-329,171,67,0,398,3,3,594,211,212,68,279,596,197,92,195,921,-71,391,192,354,112,203,0,138
2023/01/23 08:46:10,1,-394,-324,21,83,0,429,3,3,607,213,213,69,280,607,198,97,195,935,-72,390,192,354,159,208,0,137
2023/01/23 08:47:10,1,-394,-322,0,83,15,454,3,3,603,216,217,69,282,603,198,99,195,949,-72,388,193,373,154,275,0,132
2023/01/23 08:48:10,1,-392,-317,13,154,69,417,3,3,603,219,219,69,281,603,198,96,195,965,-72,388,192,391,208,300,0,133
2023/01/23 08:49:10,1,-388,-316,63,290,121,0,3,3,594,216,216,69,279,594,198,89,195,968,-72,390,193,387,156,252,0,132
2023/01/23 08:50:10,1,-386,-319,77,381,127,0,3,3,598,214,215,69,279,598,198,89,195,968,-73,389,194,362,184,234,0,193
2023/01/23 08:51:10,1,-385,-324,115,488,144,0,3,3,609,215,216,69,279,603,199,93,195,969,-74,386,193,341,173,213,0,135
2023/01/23 08:52:10,1,-385,-324,135,567,98,4,3,3,607,219,218,69,281,607,199,97,195,972,-74,384,193,367,212,265,0,135
2023/01/23 08:53:10,1,-386,-319,206,623,85,0,3,19,609,221,221,69,281,609,199,99,195,975,-72,388,192,360,243,268,0,194
2023/01/23 08:54:10,1,-387,-314,346,119,104,0,3,19,607,225,225,69,283,605,199,101,195,975,-72,388,193,386,271,340,0,131
2023/01/23 08:55:10,1,-387,-313,506,0,127,0,3,19,596,222,223,69,279,596,199,91,196,971,-72,390,193,415,226,290,0,215
2023/01/23 08:56:10,1,-387,-311,602,6,127,21,3,19,613,225,226,69,282,613,201,93,196,967,-74,388,194,371,275,331,0,147
2023/01/23 08:57:10,1,-388,-313,0,4,300,110,3,19,613,231,232,66,282,613,201,94,197,967,-76,394,196,402,311,386,0,10
2023/01/23 08:58:10,1,-390,-319,0,0,440,165,3,19,605,224,225,65,279,603,203,76,198,966,-77,398,197,415,256,338,0,0
2023/01/23 08:59:10,1,-391,-323,8,2,521,244,3,19,607,218,218,65,277,607,207,73,201,959,-77,398,198,448,208,258,0,4
2023/01/23 09:00:10,1,-393,-324,2,6,573,277,3,19,615,216,216,65,279,615,210,85,204,960,-76,399,200,505,188,253,0,0
2023/01/23 09:01:10,1,-394,-329,4,0,546,298,3,19,624,218,218,66,279,624,214,95,208,964,-75,397,205,544,192,235,0,0
2023/01/23 09:02:10,1,-397,-341,0,0,548,331,3,19,631,219,219,66,281,631,217,104,211,973,-74,398,208,689,218,281,0,0
2023/01/23 09:03:10,1,-404,-349,13,0,502,406,3,19,639,222,222,66,282,639,221,106,215,984,-72,400,211,750,262,331,0,0
2023/01/23 09:04:10,1,-411,-358,15,0,431,435,3,19,639,222,222,65,281,639,224,99,218,992,-71,405,215,731,275,337,0,0
2023/01/23 09:05:10,1,-417,-367,10,10,304,285,3,19,637,221,222,65,279,637,228,94,221,996,-70,405,217,719,233,295,0,0
2023/01/23 09:06:10,1,-423,-375,0,0,23,0,3,19,639,215,216,62,280,639,231,92,225,999,-71,414,221,706,180,308,0,0
2023/01/23 09:07:10,1,-428,-382,0,0,0,0,3,19,637,211,211,60,279,639,234,85,227,1003,-84,407,224,816,108,280,0,0
2023/01/23 09:08:10,1,-430,-387,0,0,0,0,1,2,620,244,249,65,271,622,236,74,229,1004,-113,363,226,877,0,25,0,0
2023/01/23 09:09:10,1,-427,-389,0,0,0,0,0,2,637,184,188,63,280,639,236,80,231,990,-141,342,227,889,68,202,0,0
2023/01/23 09:10:10,1,-422,-380,0,0,0,0,3,2,620,176,177,58,274,620,235,81,232,978,-160,335,228,677,8,0,0,144
2023/01/23 09:11:10,1,-413,-364,0,0,0,0,0,0,605,119,119,60,276,607,234,75,226,965,-164,326,227,257,0,13,0,144
2023/01/23 09:12:10,1,-397,-347,373,373,373,373,0,0,603,122,122,62,276,605,233,75,218,948,-160,325,225,149,0,0,0,189
2023/01/23 09:13:10,1,-383,-336,496,469,294,167,1,7,601,274,273,65,272,601,232,86,212,919,-155,316,225,122,17,0,0,74
2023/01/23 09:14:10,1,-377,-328,367,325,150,0,35,7,639,194,206,63,279,639,230,102,219,881,-129,354,223,123,217,258,0,0
2023/01/23 09:15:10,1,-377,-328,479,400,0,0,3,7,645,203,204,65,281,645,229,97,223,930,-103,372,223,123,220,281,0,0
2023/01/23 09:16:10,1,-381,-324,552,398,0,0,3,7,631,209,209,66,278,631,230,101,225,1002,-88,383,225,562,114,231,0,117
2023/01/23 09:17:10,1,-386,-320,604,402,0,0,3,7,675,211,212,67,282,675,232,116,227,1039,-80,387,224,470,236,209,0,30
2023/01/23 09:18:10,1,-388,-317,323,431,10,0,3,7,658,228,228,67,283,658,232,113,227,1056,-77,390,224,493,296,377,0,55
2023/01/23 09:19:10,1,-390,-314,0,546,0,29,3,7,652,224,225,66,280,652,233,98,228,1051,-77,393,226,757,270,340,0,0
2023/01/23 09:20:10,1,-391,-315,27,271,63,10,3,7,656,227,228,66,282,656,235,93,230,1046,-81,391,227,770,298,415,0,0
2023/01/23 09:21:10,1,-389,-318,163,10,240,23,3,7,648,219,219,62,278,648,238,75,232,1041,-84,401,230,761,230,360,0,0
2023/01/23 09:22:10,1,-386,-328,323,25,371,46,3,7,631,209,208,60,275,631,240,70,234,1036,-83,407,230,896,53,169,0,55
2023/01/23 09:23:10,1,-386,-336,333,4,373,0,32,7,637,264,265,61,270,639,242,97,236,1028,-80,405,233,689,70,0,0,0
