Time,ó‚ãpêÖëóÇËâ∑ìx,îrîMâÒé˚ï‚ããêÖâ∑ìx
2023-06-16 08:39:00,  23.5,  23.9
2023-06-16 08:40:00,  23.1,  23.7
2023-06-16 08:41:00,  23.4,  24.1
2023-06-16 08:42:00,  23.2,  23.9
2023-06-16 08:43:00,  23.1,  24.0
2023-06-16 08:44:00,  22.9,  23.9
2023-06-16 08:45:00,  22.7,  23.8
2023-06-16 08:46:00,  23.1,  24.2
2023-06-16 08:47:00,  22.6,  23.8
2023-06-16 08:48:00,  22.7,  23.8
2023-06-16 08:49:00,  22.7,  23.7
2023-06-16 08:50:00,  22.8,  23.8
2023-06-16 08:51:00,  23.1,  24.0
2023-06-16 08:52:00,  23.1,  23.9
2023-06-16 08:53:00,  22.8,  23.5
2023-06-16 08:54:00,  23.2,  23.7
2023-06-16 08:55:00,  23.3,  23.4
2023-06-16 08:56:00,  23.8,  23.6
2023-06-16 08:57:00,  24.3,  23.8
2023-06-16 08:58:00,  24.5,  23.7
2023-06-16 08:59:00,  24.4,  23.6
2023-06-16 09:00:00,  24.5,  23.6
2023-06-16 09:01:00,  24.6,  23.7
2023-06-16 09:02:00,  24.4,  23.7
2023-06-16 09:03:00,  24.4,  23.6
2023-06-16 09:04:00,  24.6,  23.7
2023-06-16 09:05:00,  24.3,  23.5
2023-06-16 09:06:00,  24.5,  23.6
2023-06-16 09:07:00,  24.3,  23.4
2023-06-16 09:08:00,  24.5,  23.7
2023-06-16 09:09:00,  23.8,  23.4
2023-06-16 09:10:00,  23.9,  23.7
2023-06-16 09:11:00,  23.4,  23.5
2023-06-16 09:12:00,  23.2,  23.5
2023-06-16 09:13:00,  23.5,  23.8
2023-06-16 09:14:00,  23.9,  24.0
2023-06-16 09:15:00,  24.4,  24.1
2023-06-16 09:16:00,  24.5,  23.9
2023-06-16 09:17:00,  25.0,  24.3
2023-06-16 09:18:00,  24.9,  24.1
2023-06-16 09:19:00,  24.8,  24.0
2023-06-16 09:20:00,  25.3,  24.5
2023-06-16 09:21:00,  24.8,  24.1
2023-06-16 09:22:00,  24.9,  24.3
2023-06-16 09:23:00,  24.6,  24.1
2023-06-16 09:24:00,  24.9,  24.3
2023-06-16 09:25:00,  24.6,  24.1
2023-06-16 09:26:00,  24.9,  24.3
2023-06-16 09:27:00,  24.5,  23.9
2023-06-16 09:28:00,  24.8,  24.1
2023-06-16 09:29:00,  24.6,  23.9
2023-06-16 09:30:00,  24.2,  23.6
2023-06-16 09:31:00,  24.2,  23.7
2023-06-16 09:32:00,  24.0,  23.6
2023-06-16 09:33:00,  24.2,  23.9
2023-06-16 09:34:00,  24.1,  23.7
2023-06-16 09:35:00,  24.2,  23.9
2023-06-16 09:36:00,  24.1,  23.9
2023-06-16 09:37:00,  23.9,  23.8
2023-06-16 09:38:00,  23.8,  23.8
2023-06-16 09:39:00,  23.8,  23.9
2023-06-16 09:40:00,  23.7,  23.8
2023-06-16 09:41:00,  23.9,  24.0
2023-06-16 09:42:00,  24.1,  24.2
2023-06-16 09:43:00,  23.7,  24.0
2023-06-16 09:44:00,  24.2,  24.4
2023-06-16 09:45:00,  24.2,  24.4
2023-06-16 09:46:00,  24.2,  24.5
2023-06-16 09:47:00,  23.8,  24.2
2023-06-16 09:48:00,  24.2,  24.5
2023-06-16 09:49:00,  23.9,  24.4
2023-06-16 09:50:00,  23.7,  24.3
2023-06-16 09:51:00,  23.8,  24.6
2023-06-16 09:52:00,  23.5,  24.5
2023-06-16 09:53:00,  23.3,  24.4
2023-06-16 09:54:00,  23.6,  24.8
2023-06-16 09:55:00,  23.4,  24.5
2023-06-16 09:56:00,  23.9,  24.9
2023-06-16 09:57:00,  24.3,  25.0
2023-06-16 09:58:00,  24.3,  24.8
2023-06-16 09:59:00,  24.5,  24.7
2023-06-16 10:00:00,  24.7,  24.7
2023-06-16 10:01:00,  24.6,  24.7
2023-06-16 10:02:00,  24.7,  25.0
2023-06-16 10:03:00,  24.4,  25.0
2023-06-16 10:04:00,  23.7,  24.7
2023-06-16 10:05:00,  23.6,  24.7
2023-06-16 10:06:00,  23.9,  25.0
2023-06-16 10:07:00,  23.7,  24.7
2023-06-16 10:08:00,  24.4,  25.1
2023-06-16 10:09:00,  24.6,  25.0
2023-06-16 10:10:00,  24.7,  25.0
2023-06-16 10:11:00,  25.1,  25.1
2023-06-16 10:12:00,  25.5,  25.2
2023-06-16 10:13:00,  25.6,  25.2
2023-06-16 10:14:00,  25.6,  25.2
2023-06-16 10:15:00,  25.2,  25.1
2023-06-16 10:16:00,  25.0,  25.0
2023-06-16 10:17:00,  25.2,  25.1
2023-06-16 10:18:00,  24.9,  25.3
2023-06-16 10:19:00,  24.4,  25.3
2023-06-16 10:20:00,  23.8,  25.2
2023-06-16 10:21:00,  23.6,  25.3
2023-06-16 10:22:00,  24.1,  25.7
2023-06-16 10:23:00,  24.0,  25.5
2023-06-16 10:24:00,  24.2,  25.6
2023-06-16 10:25:00,  24.4,  25.6
2023-06-16 10:26:00,  25.0,  26.2
2023-06-16 10:27:00,  24.5,  25.9
2023-06-16 10:28:00,  24.6,  26.3
2023-06-16 10:29:00,  24.3,  26.3
2023-06-16 10:30:00,  23.8,  26.1
2023-06-16 10:31:00,  23.8,  26.1
2023-06-16 10:32:00,  23.8,  26.1
2023-06-16 10:33:00,  23.9,  26.1
2023-06-16 10:34:00,  23.6,  25.7
