Time,MTìfèoà≥óÕ,LTìfèoà≥óÕ,MTìfèoâ∑ìx,â∑êÖéÊèoâ∑ìx,â∑êÖó¨ó 
2023-06-12 14:08:00,   6.48,   2.31, 102.8,  97.3,  -2.4
2023-06-12 14:09:00,   6.52,   2.21, 103.0,  98.6,  -2.4
2023-06-12 14:10:00,   6.52,   2.21, 104.1,  98.6,   0.1
2023-06-12 14:11:00,   6.54,   2.17, 104.7,  99.0,   1.5
2023-06-12 14:12:00,   6.56,   2.17, 105.7,  90.8,   0.9
2023-06-12 14:13:00,   6.58,   2.25, 106.6,  80.3,   0.8
2023-06-12 14:14:00,   6.56,   2.31, 106.7,  80.8,   0.4
2023-06-12 14:15:00,   6.52,   2.33, 106.1,  84.7,  -0.6
2023-06-12 14:16:00,   6.52,   2.36, 105.1,  87.3,  -0.8
2023-06-12 14:17:00,   6.52,   2.40, 104.4,  89.3,  -0.9
2023-06-12 14:18:00,   6.60,   2.38, 103.1,  89.5,  -0.6
2023-06-12 14:19:00,   6.54,   2.37, 100.3,  90.5,  -0.5
2023-06-12 14:20:00,   6.48,   2.28, 100.4,  92.2,  -0.3
2023-06-12 14:21:00,   6.46,   2.17, 101.8,  91.3,   0.0
2023-06-12 14:22:00,   6.48,   1.98, 103.9,  89.6,   0.6
2023-06-12 14:23:00,   6.37,   1.96, 105.8,  83.9,   1.0
2023-06-12 14:24:00,   6.35,   2.03, 106.4,  73.1,   0.3
2023-06-12 14:25:00,   6.46,   2.08, 106.4,  65.6,  -1.6
2023-06-12 14:26:00,   6.39,   2.20, 106.5,  62.0,  -2.2
2023-06-12 14:27:00,   6.54,   2.32, 106.3,  69.5,  -2.4
2023-06-12 14:28:00,   6.52,   2.39, 105.3,  75.7,  -2.4
2023-06-12 14:29:00,   6.46,   2.42, 104.0,  77.3,  -2.4
2023-06-12 14:30:00,   6.39,   2.40, 102.4,  84.0,  -2.4
2023-06-12 14:31:00,   6.43,   2.40, 101.0,  90.9,  -2.4
2023-06-12 14:32:00,   6.48,   2.45, 100.4,  91.7,  -2.4
2023-06-12 14:33:00,   6.58,   2.43,  99.2,  90.9,  -2.4
2023-06-12 14:34:00,   6.56,   2.46,  99.3,  90.5,  -2.4
2023-06-12 14:35:00,   6.58,   2.28,  97.5,  90.5,  -2.4
2023-06-12 14:36:00,   6.54,   2.22,  98.9,  90.1,  -2.4
2023-06-12 14:37:00,   6.58,   2.17, 101.4,  91.3,  -2.4
2023-06-12 14:38:00,   6.60,   2.12, 103.8,  93.1,  -2.4
2023-06-12 14:39:00,   6.61,   2.08, 106.1,  94.5,  -2.4
2023-06-12 14:40:00,   6.63,   2.10, 107.9,  95.7,  -2.4
2023-06-12 14:41:00,   6.65,   2.10, 109.3,  96.8,  -2.4
2023-06-12 14:42:00,   6.65,   2.14, 110.1,  99.2,  -2.4
2023-06-12 14:43:00,   6.65,   2.18, 110.7, 101.4,  -1.2
2023-06-12 14:44:00,   6.60,   2.20, 110.8, 103.1,   1.9
2023-06-12 14:45:00,   6.58,   2.15, 110.5,  98.2,   2.0
2023-06-12 14:46:00,   6.56,   2.08, 110.6,  90.9,  -1.1
2023-06-12 14:47:00,   6.56,   2.07, 111.3,  88.3,  -0.1
2023-06-12 14:48:00,   6.54,   2.00, 112.2,  93.5,  -2.2
2023-06-12 14:49:00,   6.30,   2.13, 113.0,  94.6,  -1.2
2023-06-12 14:50:00,   6.39,   2.12, 111.3,  96.0,  -0.6
2023-06-12 14:51:00,   6.54,   2.01, 108.9,  90.4,  -1.0
2023-06-12 14:52:00,   6.03,   1.99, 108.0,  75.2,   2.1
2023-06-12 14:53:00,   6.01,   2.00, 106.6,  47.4,  -0.2
2023-06-12 14:54:00,   6.30,   2.40, 104.2,  32.1,  -1.0
2023-06-12 14:55:00,   6.43,   1.88, 102.9,  39.4,  -1.9
2023-06-12 14:56:00,   6.05,   1.89, 101.5,  42.8,  -2.4
2023-06-12 14:57:00,   6.03,   1.89,  99.4,  37.9,  -2.4
2023-06-12 14:58:00,   6.01,   1.90,  97.4,  32.8,  -2.0
2023-06-12 14:59:00,   6.52,   2.09,  95.7,  29.2,  -2.4
2023-06-12 15:00:00,   6.45,   2.13,  98.4,  31.7,  -2.4
2023-06-12 15:01:00,   6.46,   2.25, 102.5,  33.0,  -2.4
2023-06-12 15:02:00,   6.43,   2.28, 105.0,  34.6,  -2.4
2023-06-12 15:03:00,   6.41,   2.22, 105.8,  44.1,  -2.4
2023-06-12 15:04:00,   6.37,   2.11, 106.3,  80.5,  -2.4
2023-06-12 15:05:00,   6.46,   2.03, 107.3,  97.0,  -2.4
2023-06-12 15:06:00,   6.46,   2.00, 108.8,  97.7,  -2.4
2023-06-12 15:07:00,   6.46,   1.99, 109.2,  97.9,  -0.8
2023-06-12 15:08:00,   6.11,   2.56, 109.2,  99.7,  -2.4
2023-06-12 15:09:00,   6.22,   1.68, 107.8,  98.5,  -1.0
2023-06-12 15:10:00,   5.98,   2.03, 106.6,  93.4,  -2.4
2023-06-12 15:11:00,   5.98,   2.03, 104.7,  80.6,  -2.4
2023-06-12 15:12:00,   5.98,   2.03, 102.5,  57.9,  -1.4
2023-06-12 15:13:00,   5.98,   2.03, 101.4,  47.7,  -2.3
2023-06-12 15:14:00,   6.00,   2.04,  97.9,  32.5,  -1.6
2023-06-12 15:15:00,   6.01,   2.04,  95.4,  28.5,  -2.4
2023-06-12 15:16:00,   6.01,   2.04,  94.1,  27.5,  -2.4
2023-06-12 15:17:00,   6.43,   2.40,  92.1,  26.6,  -2.4
2023-06-12 15:18:00,   6.46,   2.10,  94.7,  26.4,  -2.4
