Time,ó‚ãpêÖëóÇËâ∑ìx,îrîMâÒé˚ï‚ããêÖâ∑ìx
2023-02-06 08:13:00,  21.7,   7.9
2023-02-06 08:14:00,  21.9,   8.1
2023-02-06 08:15:00,  22.0,   8.1
2023-02-06 08:16:00,  21.8,   7.9
2023-02-06 08:17:00,  21.8,   8.0
2023-02-06 08:18:00,  21.8,   8.0
2023-02-06 08:19:00,  22.1,   8.2
2023-02-06 08:20:00,  21.9,   8.1
2023-02-06 08:21:00,  22.1,   8.3
2023-02-06 08:22:00,  22.2,   8.3
2023-02-06 08:23:00,  22.1,   8.2
2023-02-06 08:24:00,  22.3,   8.4
2023-02-06 08:25:00,  22.1,   8.2
2023-02-06 08:26:00,  22.4,   8.4
2023-02-06 08:27:00,  22.2,   8.3
2023-02-06 08:28:00,  22.3,   8.4
2023-02-06 08:29:00,  22.2,   8.5
2023-02-06 08:30:00,  22.3,   8.6
2023-02-06 08:31:00,  22.3,   8.7
2023-02-06 08:32:00,  21.9,   8.6
2023-02-06 08:33:00,  21.8,   8.7
2023-02-06 08:34:00,  21.8,   8.8
2023-02-06 08:35:00,  21.7,   8.8
2023-02-06 08:36:00,  21.6,   8.7
2023-02-06 08:37:00,  21.7,   8.8
2023-02-06 08:38:00,  21.5,   8.7
2023-02-06 08:39:00,  21.6,   8.8
2023-02-06 08:40:00,  21.5,   8.7
2023-02-06 08:41:00,  21.5,   8.7
2023-02-06 08:42:00,  21.7,   8.8
2023-02-06 08:43:00,  21.7,   8.7
2023-02-06 08:44:00,  21.7,   8.7
2023-02-06 08:45:00,  21.8,   8.7
2023-02-06 08:46:00,  22.1,   8.8
2023-02-06 08:47:00,  22.0,   8.7
2023-02-06 08:48:00,  22.0,   8.7
2023-02-06 08:49:00,  22.2,   8.9
2023-02-06 08:50:00,  22.2,   8.8
2023-02-06 08:51:00,  22.3,   8.9
2023-02-06 08:52:00,  22.1,   8.7
2023-02-06 08:53:00,  22.4,   8.9
2023-02-06 08:54:00,  22.4,   8.9
2023-02-06 08:55:00,  22.3,   8.8
2023-02-06 08:56:00,  22.4,   8.9
2023-02-06 08:57:00,  22.3,   8.8
2023-02-06 08:58:00,  22.3,   8.8
2023-02-06 08:59:00,  22.5,   8.9
2023-02-06 09:00:00,  22.5,   8.8
2023-02-06 09:01:00,  22.6,   8.9
2023-02-06 09:02:00,  22.5,   8.8
2023-02-06 09:03:00,  22.6,   8.8
2023-02-06 09:04:00,  22.8,   8.9
2023-02-06 09:05:00,  22.9,   8.9
2023-02-06 09:06:00,  22.9,   8.9
2023-02-06 09:07:00,  22.8,   8.8
2023-02-06 09:08:00,  22.8,   8.9
2023-02-06 09:09:00,  22.9,   8.9
2023-02-06 09:10:00,  22.9,   9.0
2023-02-06 09:11:00,  23.0,   9.2
2023-02-06 09:12:00,  22.8,   9.1
2023-02-06 09:13:00,  22.7,   9.2
2023-02-06 09:14:00,  22.6,   9.2
2023-02-06 09:15:00,  22.7,   9.3
2023-02-06 09:16:00,  22.5,   9.2
2023-02-06 09:17:00,  22.8,   9.5
2023-02-06 09:18:00,  22.9,   9.5
2023-02-06 09:19:00,  23.1,   9.6
2023-02-06 09:20:00,  23.3,   9.7
2023-02-06 09:21:00,  23.4,   9.7
2023-02-06 09:22:00,  23.7,   9.8
